Time [s],Value,Parity Error,Framing Error
0.065732900000000,\r (0x0D),,
0.065820100000000,1 (0x31),,
0.065907400000000,0 (0x30),,
0.065994600000000,0 (0x30),,
0.066081900000000,0 (0x30),,
0.066169100000000,0 (0x30),,
0.066256400000000,0 (0x30),,
0.066343600000000,0 (0x30),,
0.066430900000000,0 (0x30),,
0.066518100000000,0 (0x30),,
0.066605400000000,0 (0x30),,
0.066692600000000,6 (0x36),,
0.066779900000000,0 (0x30),,
0.066867100000000,6 (0x36),,
0.066954400000000,8 (0x38),,
0.067041600000000,1 (0x31),,
0.067128800000000,3 (0x33),,
0.067216100000000,8 (0x38),,
0.067303300000000,7 (0x37),,
0.067390600000000,0 (0x30),,
0.067477800000000,0 (0x30),,
0.067565100000000,0 (0x30),,
0.067652300000000,0 (0x30),,
0.067739600000000,0 (0x30),,
0.067826800000000,0 (0x30),,
0.067914100000000,0 (0x30),,
0.068001300000000,0 (0x30),,
0.068088600000000,0 (0x30),,
0.068175800000000,0 (0x30),,
0.068263100000000,0 (0x30),,
0.068350300000000,0 (0x30),,
0.068437600000000,0 (0x30),,
0.068524800000000,0 (0x30),,
0.068612100000000,0 (0x30),,
0.068699300000000,0 (0x30),,
0.068786600000000,0 (0x30),,
0.068873800000000,0 (0x30),,
0.068961100000000,'6' (0x06),,
0.069048300000000,'232' (0xE8),,
0.069135600000000,\n (0x0A),,
0.168144400000000,\r (0x0D),,
0.168231600000000,1 (0x31),,
0.168318800000000,0 (0x30),,
0.168406100000000,0 (0x30),,
0.168493300000000,0 (0x30),,
0.168580500000000,0 (0x30),,
0.168667800000000,0 (0x30),,
0.168755000000000,0 (0x30),,
0.168842200000000,0 (0x30),,
0.168929500000000,0 (0x30),,
0.169016700000000,0 (0x30),,
0.169103900000000,6 (0x36),,
0.169191200000000,0 (0x30),,
0.169278400000000,6 (0x36),,
0.169365700000000,8 (0x38),,
0.169452900000000,1 (0x31),,
0.169540100000000,3 (0x33),,
0.169627400000000,8 (0x38),,
0.169714600000000,7 (0x37),,
0.169801800000000,0 (0x30),,
0.169889100000000,0 (0x30),,
0.169976300000000,0 (0x30),,
0.170063500000000,0 (0x30),,
0.170150800000000,0 (0x30),,
0.170238000000000,0 (0x30),,
0.170325300000000,0 (0x30),,
0.170412500000000,0 (0x30),,
0.170499700000000,0 (0x30),,
0.170587000000000,0 (0x30),,
0.170674200000000,0 (0x30),,
0.170761500000000,0 (0x30),,
0.170848700000000,0 (0x30),,
0.170935900000000,0 (0x30),,
0.171023200000000,0 (0x30),,
0.171110400000000,0 (0x30),,
0.171197700000000,0 (0x30),,
0.171284900000000,0 (0x30),,
0.171372100000000,'6' (0x06),,
0.171459400000000,'232' (0xE8),,
0.171546600000000,\n (0x0A),,
0.267561600000000,\r (0x0D),,
0.267648900000000,1 (0x31),,
0.267736100000000,0 (0x30),,
0.267823400000000,0 (0x30),,
0.267910600000000,0 (0x30),,
0.267997900000000,0 (0x30),,
0.268085100000000,0 (0x30),,
0.268172300000000,0 (0x30),,
0.268259600000000,0 (0x30),,
0.268346800000000,0 (0x30),,
0.268434100000000,0 (0x30),,
0.268521300000000,6 (0x36),,
0.268608500000000,0 (0x30),,
0.268695800000000,6 (0x36),,
0.268783000000000,8 (0x38),,
0.268870300000000,1 (0x31),,
0.268957500000000,3 (0x33),,
0.269044800000000,8 (0x38),,
0.269132000000000,7 (0x37),,
0.269219200000000,0 (0x30),,
0.269306500000000,0 (0x30),,
0.269393700000000,0 (0x30),,
0.269481000000000,0 (0x30),,
0.269568200000000,0 (0x30),,
0.269655400000000,0 (0x30),,
0.269742700000000,0 (0x30),,
0.269829900000000,0 (0x30),,
0.269917100000000,0 (0x30),,
0.270004400000000,0 (0x30),,
0.270091600000000,0 (0x30),,
0.270178900000000,0 (0x30),,
0.270266100000000,0 (0x30),,
0.270353300000000,0 (0x30),,
0.270440600000000,0 (0x30),,
0.270527800000000,0 (0x30),,
0.270615000000000,0 (0x30),,
0.270702300000000,0 (0x30),,
0.270789500000000,'6' (0x06),,
0.270876700000000,'232' (0xE8),,
0.270964000000000,\n (0x0A),,
0.366977100000000,\r (0x0D),,
0.367064400000000,1 (0x31),,
0.367151600000000,0 (0x30),,
0.367238800000000,0 (0x30),,
0.367326000000000,0 (0x30),,
0.367413300000000,0 (0x30),,
0.367500500000000,0 (0x30),,
0.367587800000000,0 (0x30),,
0.367675000000000,0 (0x30),,
0.367762200000000,0 (0x30),,
0.367849500000000,0 (0x30),,
0.367936700000000,6 (0x36),,
0.368023900000000,0 (0x30),,
0.368111200000000,6 (0x36),,
0.368198400000000,8 (0x38),,
0.368285600000000,1 (0x31),,
0.368372900000000,3 (0x33),,
0.368460100000000,8 (0x38),,
0.368547300000000,7 (0x37),,
0.368634600000000,0 (0x30),,
0.368721800000000,0 (0x30),,
0.368809100000000,0 (0x30),,
0.368896300000000,0 (0x30),,
0.368983500000000,0 (0x30),,
0.369070800000000,0 (0x30),,
0.369158000000000,0 (0x30),,
0.369245200000000,0 (0x30),,
0.369332500000000,0 (0x30),,
0.369419700000000,0 (0x30),,
0.369506900000000,0 (0x30),,
0.369594100000000,0 (0x30),,
0.369681400000000,0 (0x30),,
0.369768600000000,0 (0x30),,
0.369855900000000,0 (0x30),,
0.369943100000000,0 (0x30),,
0.370030300000000,0 (0x30),,
0.370117600000000,0 (0x30),,
0.370204800000000,'6' (0x06),,
0.370292100000000,'232' (0xE8),,
0.370379300000000,\n (0x0A),,
0.466395400000000,\r (0x0D),,
0.466482600000000,1 (0x31),,
0.466569900000000,0 (0x30),,
0.466657100000000,0 (0x30),,
0.466744400000000,0 (0x30),,
0.466831600000000,0 (0x30),,
0.466918800000000,0 (0x30),,
0.467006100000000,0 (0x30),,
0.467093300000000,0 (0x30),,
0.467180500000000,0 (0x30),,
0.467267800000000,0 (0x30),,
0.467355000000000,6 (0x36),,
0.467442300000000,0 (0x30),,
0.467529500000000,6 (0x36),,
0.467616700000000,8 (0x38),,
0.467704000000000,1 (0x31),,
0.467791200000000,3 (0x33),,
0.467878500000000,8 (0x38),,
0.467965700000000,7 (0x37),,
0.468052900000000,0 (0x30),,
0.468140200000000,0 (0x30),,
0.468227400000000,0 (0x30),,
0.468314600000000,0 (0x30),,
0.468401900000000,0 (0x30),,
0.468489100000000,0 (0x30),,
0.468576300000000,0 (0x30),,
0.468663600000000,0 (0x30),,
0.468750800000000,0 (0x30),,
0.468838100000000,0 (0x30),,
0.468925300000000,0 (0x30),,
0.469012500000000,0 (0x30),,
0.469099800000000,0 (0x30),,
0.469187000000000,0 (0x30),,
0.469274300000000,0 (0x30),,
0.469361500000000,0 (0x30),,
0.469448700000000,0 (0x30),,
0.469536000000000,0 (0x30),,
0.469623200000000,'6' (0x06),,
0.469710500000000,'232' (0xE8),,
0.469797700000000,\n (0x0A),,
0.565827600000000,\r (0x0D),,
0.565914800000000,1 (0x31),,
0.566002100000000,0 (0x30),,
0.566089300000000,0 (0x30),,
0.566176500000000,0 (0x30),,
0.566263800000000,0 (0x30),,
0.566351000000000,0 (0x30),,
0.566438300000000,0 (0x30),,
0.566525500000000,0 (0x30),,
0.566612800000000,0 (0x30),,
0.566700000000000,0 (0x30),,
0.566787300000000,6 (0x36),,
0.566874500000000,0 (0x30),,
0.566961800000000,6 (0x36),,
0.567049000000000,8 (0x38),,
0.567136300000000,1 (0x31),,
0.567223500000000,3 (0x33),,
0.567310800000000,8 (0x38),,
0.567398000000000,7 (0x37),,
0.567485300000000,0 (0x30),,
0.567572500000000,0 (0x30),,
0.567659800000000,0 (0x30),,
0.567747000000000,0 (0x30),,
0.567834300000000,0 (0x30),,
0.567921500000000,0 (0x30),,
0.568008800000000,0 (0x30),,
0.568096000000000,0 (0x30),,
0.568183300000000,0 (0x30),,
0.568270500000000,0 (0x30),,
0.568357800000000,0 (0x30),,
0.568445000000000,0 (0x30),,
0.568532300000000,0 (0x30),,
0.568619500000000,0 (0x30),,
0.568706800000000,0 (0x30),,
0.568794000000000,0 (0x30),,
0.568881300000000,0 (0x30),,
0.568968500000000,0 (0x30),,
0.569055800000000,'6' (0x06),,
0.569143000000000,'232' (0xE8),,
0.569230300000000,\n (0x0A),,
0.665252800000000,\r (0x0D),,
0.665340100000000,1 (0x31),,
0.665427300000000,0 (0x30),,
0.665514600000000,0 (0x30),,
0.665601800000000,0 (0x30),,
0.665689100000000,0 (0x30),,
0.665776300000000,0 (0x30),,
0.665863600000000,0 (0x30),,
0.665950800000000,0 (0x30),,
0.666038100000000,0 (0x30),,
0.666125300000000,0 (0x30),,
0.666212600000000,6 (0x36),,
0.666299800000000,0 (0x30),,
0.666387000000000,6 (0x36),,
0.666474300000000,8 (0x38),,
0.666561500000000,1 (0x31),,
0.666648800000000,3 (0x33),,
0.666736000000000,8 (0x38),,
0.666823300000000,7 (0x37),,
0.666910500000000,0 (0x30),,
0.666997800000000,0 (0x30),,
0.667085000000000,0 (0x30),,
0.667172200000000,0 (0x30),,
0.667259500000000,0 (0x30),,
0.667346700000000,0 (0x30),,
0.667434000000000,0 (0x30),,
0.667521200000000,0 (0x30),,
0.667608500000000,0 (0x30),,
0.667695700000000,0 (0x30),,
0.667783000000000,0 (0x30),,
0.667870200000000,0 (0x30),,
0.667957400000000,0 (0x30),,
0.668044700000000,0 (0x30),,
0.668131900000000,0 (0x30),,
0.668219200000000,0 (0x30),,
0.668306400000000,0 (0x30),,
0.668393700000000,0 (0x30),,
0.668480900000000,'6' (0x06),,
0.668568100000000,'232' (0xE8),,
0.668655400000000,\n (0x0A),,
0.767657000000000,\r (0x0D),,
0.767744200000000,1 (0x31),,
0.767831500000000,0 (0x30),,
0.767918700000000,0 (0x30),,
0.768006000000000,0 (0x30),,
0.768093200000000,0 (0x30),,
0.768180500000000,0 (0x30),,
0.768267700000000,0 (0x30),,
0.768355000000000,0 (0x30),,
0.768442200000000,0 (0x30),,
0.768529400000000,0 (0x30),,
0.768616700000000,6 (0x36),,
0.768703900000000,0 (0x30),,
0.768791200000000,6 (0x36),,
0.768878400000000,8 (0x38),,
0.768965600000000,1 (0x31),,
0.769052900000000,3 (0x33),,
0.769140100000000,8 (0x38),,
0.769227400000000,7 (0x37),,
0.769314600000000,0 (0x30),,
0.769401900000000,0 (0x30),,
0.769489100000000,0 (0x30),,
0.769576300000000,0 (0x30),,
0.769663600000000,0 (0x30),,
0.769750800000000,0 (0x30),,
0.769838100000000,0 (0x30),,
0.769925300000000,0 (0x30),,
0.770012600000000,0 (0x30),,
0.770099800000000,0 (0x30),,
0.770187000000000,0 (0x30),,
0.770274300000000,0 (0x30),,
0.770361500000000,0 (0x30),,
0.770448700000000,0 (0x30),,
0.770536000000000,0 (0x30),,
0.770623200000000,0 (0x30),,
0.770710500000000,0 (0x30),,
0.770797700000000,0 (0x30),,
0.770884900000000,'6' (0x06),,
0.770972200000000,'232' (0xE8),,
0.771059400000000,\n (0x0A),,
0.867086700000000,\r (0x0D),,
0.867174000000000,1 (0x31),,
0.867261200000000,0 (0x30),,
