Time [s],Value,Parity Error,Framing Error
0.069786400000000,\r (0x0D),,
0.069873600000000,1 (0x31),,
0.069960800000000,0 (0x30),,
0.070048100000000,0 (0x30),,
0.070135300000000,0 (0x30),,
0.070222500000000,6 (0x36),,
0.070309800000000,9 (0x39),,
0.070397000000000,0 (0x30),,
0.070484300000000,0 (0x30),,
0.070571500000000,0 (0x30),,
0.070658700000000,0 (0x30),,
0.070746000000000,6 (0x36),,
0.070833200000000,0 (0x30),,
0.070920500000000,6 (0x36),,
0.071007700000000,8 (0x38),,
0.071095000000000,1 (0x31),,
0.071182200000000,3 (0x33),,
0.071269400000000,6 (0x36),,
0.071356700000000,8 (0x38),,
0.071443900000000,0 (0x30),,
0.071531100000000,0 (0x30),,
0.071618400000000,0 (0x30),,
0.071705600000000,0 (0x30),,
0.071792900000000,0 (0x30),,
0.071880100000000,0 (0x30),,
0.071967400000000,0 (0x30),,
0.072054600000000,0 (0x30),,
0.072141900000000,0 (0x30),,
0.072229100000000,0 (0x30),,
0.072316300000000,0 (0x30),,
0.072403600000000,0 (0x30),,
0.072490800000000,0 (0x30),,
0.072578100000000,0 (0x30),,
0.072665300000000,0 (0x30),,
0.072752600000000,0 (0x30),,
0.072839800000000,0 (0x30),,
0.072927100000000,0 (0x30),,
0.073014300000000,'6' (0x06),,
0.073101500000000,'246' (0xF6),,
0.073188800000000,\n (0x0A),,
0.169220500000000,\r (0x0D),,
0.169307800000000,1 (0x31),,
0.169395000000000,0 (0x30),,
0.169482200000000,0 (0x30),,
0.169569500000000,1 (0x31),,
0.169656700000000,4 (0x34),,
0.169744000000000,6 (0x36),,
0.169831200000000,0 (0x30),,
0.169918400000000,0 (0x30),,
0.170005700000000,0 (0x30),,
0.170092900000000,0 (0x30),,
0.170180100000000,6 (0x36),,
0.170267400000000,0 (0x30),,
0.170354600000000,6 (0x36),,
0.170441900000000,8 (0x38),,
0.170529100000000,1 (0x31),,
0.170616300000000,3 (0x33),,
0.170703600000000,6 (0x36),,
0.170790800000000,8 (0x38),,
0.170878100000000,0 (0x30),,
0.170965300000000,0 (0x30),,
0.171052500000000,0 (0x30),,
0.171139800000000,0 (0x30),,
0.171227000000000,0 (0x30),,
0.171314300000000,0 (0x30),,
0.171401500000000,0 (0x30),,
0.171488700000000,0 (0x30),,
0.171576000000000,0 (0x30),,
0.171663200000000,0 (0x30),,
0.171750400000000,0 (0x30),,
0.171837700000000,0 (0x30),,
0.171924900000000,0 (0x30),,
0.172012100000000,0 (0x30),,
0.172099400000000,0 (0x30),,
0.172186600000000,0 (0x30),,
0.172273800000000,0 (0x30),,
0.172361100000000,0 (0x30),,
0.172448300000000,'6' (0x06),,
0.172535600000000,'242' (0xF2),,
0.172622800000000,\n (0x0A),,
0.271630000000000,\r (0x0D),,
0.271717300000000,1 (0x31),,
0.271804500000000,0 (0x30),,
0.271891700000000,0 (0x30),,
0.271979000000000,0 (0x30),,
0.272066200000000,7 (0x37),,
0.272153400000000,7 (0x37),,
0.272240700000000,0 (0x30),,
0.272327900000000,0 (0x30),,
0.272415200000000,0 (0x30),,
0.272502400000000,0 (0x30),,
0.272589600000000,6 (0x36),,
0.272676900000000,0 (0x30),,
0.272764100000000,6 (0x36),,
0.272851300000000,8 (0x38),,
0.272938600000000,1 (0x31),,
0.273025800000000,3 (0x33),,
0.273113100000000,6 (0x36),,
0.273200300000000,8 (0x38),,
0.273287500000000,0 (0x30),,
0.273374800000000,0 (0x30),,
0.273462000000000,0 (0x30),,
0.273549200000000,0 (0x30),,
0.273636500000000,0 (0x30),,
0.273723700000000,0 (0x30),,
0.273811000000000,0 (0x30),,
0.273898200000000,0 (0x30),,
0.273985400000000,0 (0x30),,
0.274072700000000,0 (0x30),,
0.274159900000000,0 (0x30),,
0.274247100000000,0 (0x30),,
0.274334400000000,0 (0x30),,
0.274421600000000,0 (0x30),,
0.274508900000000,0 (0x30),,
0.274596100000000,0 (0x30),,
0.274683300000000,0 (0x30),,
0.274770600000000,0 (0x30),,
0.274857800000000,'6' (0x06),,
0.274945100000000,'245' (0xF5),,
0.275032300000000,\n (0x0A),,
0.371046000000000,\r (0x0D),,
0.371133300000000,1 (0x31),,
0.371220500000000,0 (0x30),,
0.371307800000000,0 (0x30),,
0.371395000000000,2 (0x32),,
0.371482300000000,1 (0x31),,
0.371569500000000,8 (0x38),,
0.371656700000000,0 (0x30),,
0.371744000000000,0 (0x30),,
0.371831200000000,0 (0x30),,
0.371918500000000,0 (0x30),,
0.372005700000000,6 (0x36),,
0.372092900000000,0 (0x30),,
0.372180200000000,6 (0x36),,
0.372267400000000,8 (0x38),,
0.372354700000000,1 (0x31),,
0.372441900000000,3 (0x33),,
