Time [s],Value,Parity Error,Framing Error
0.032914800000000,\r (0x0D),,
0.033002100000000,1 (0x31),,
0.033089300000000,0 (0x30),,
0.033176500000000,0 (0x30),,
0.033263800000000,0 (0x30),,
0.033351000000000,0 (0x30),,
0.033438300000000,0 (0x30),,
0.033525500000000,0 (0x30),,
0.033612800000000,0 (0x30),,
0.033700000000000,0 (0x30),,
0.033787300000000,0 (0x30),,
0.033874500000000,6 (0x36),,
0.033961800000000,0 (0x30),,
0.034049000000000,6 (0x36),,
0.034136200000000,8 (0x38),,
0.034223500000000,1 (0x31),,
0.034310700000000,4 (0x34),,
0.034398000000000,1 (0x31),,
0.034485200000000,1 (0x31),,
0.034572500000000,0 (0x30),,
0.034659700000000,0 (0x30),,
0.034747000000000,0 (0x30),,
0.034834200000000,0 (0x30),,
0.034921400000000,0 (0x30),,
0.035008700000000,0 (0x30),,
0.035095900000000,0 (0x30),,
0.035183200000000,0 (0x30),,
0.035270400000000,0 (0x30),,
0.035357700000000,0 (0x30),,
0.035444900000000,0 (0x30),,
0.035532100000000,0 (0x30),,
0.035619400000000,0 (0x30),,
0.035706600000000,0 (0x30),,
0.035793900000000,0 (0x30),,
0.035881100000000,0 (0x30),,
0.035968400000000,0 (0x30),,
0.036055600000000,0 (0x30),,
0.036142900000000,'6' (0x06),,
0.036230100000000,'220' (0xDC),,
0.036317300000000,\n (0x0A),,
0.132348100000000,\r (0x0D),,
0.132435300000000,1 (0x31),,
0.132522600000000,0 (0x30),,
0.132609800000000,0 (0x30),,
0.132697000000000,0 (0x30),,
0.132784300000000,0 (0x30),,
0.132871500000000,0 (0x30),,
0.132958800000000,0 (0x30),,
0.133046000000000,0 (0x30),,
0.133133300000000,0 (0x30),,
0.133220500000000,0 (0x30),,
0.133307700000000,6 (0x36),,
0.133395000000000,0 (0x30),,
0.133482200000000,6 (0x36),,
0.133569500000000,8 (0x38),,
0.133656700000000,1 (0x31),,
0.133743900000000,4 (0x34),,
0.133831200000000,1 (0x31),,
0.133918400000000,1 (0x31),,
0.134005700000000,0 (0x30),,
0.134092900000000,0 (0x30),,
0.134180200000000,0 (0x30),,
0.134267400000000,0 (0x30),,
0.134354600000000,0 (0x30),,
0.134441900000000,0 (0x30),,
0.134529100000000,0 (0x30),,
0.134616400000000,0 (0x30),,
0.134703600000000,0 (0x30),,
0.134790800000000,0 (0x30),,
0.134878100000000,0 (0x30),,
0.134965300000000,0 (0x30),,
0.135052600000000,0 (0x30),,
0.135139800000000,0 (0x30),,
0.135227100000000,0 (0x30),,
0.135314300000000,0 (0x30),,
0.135401500000000,0 (0x30),,
0.135488800000000,0 (0x30),,
0.135576000000000,'6' (0x06),,
0.135663300000000,'220' (0xDC),,
0.135750500000000,\n (0x0A),,
0.231771200000000,\r (0x0D),,
0.231858400000000,1 (0x31),,
0.231945700000000,0 (0x30),,
0.232032900000000,0 (0x30),,
0.232120200000000,0 (0x30),,
0.232207400000000,0 (0x30),,
0.232294600000000,0 (0x30),,
0.232381900000000,0 (0x30),,
0.232469100000000,0 (0x30),,
0.232556400000000,0 (0x30),,
0.232643600000000,0 (0x30),,
0.232730900000000,6 (0x36),,
0.232818100000000,0 (0x30),,
0.232905300000000,6 (0x36),,
0.232992600000000,8 (0x38),,
0.233079800000000,1 (0x31),,
0.233167100000000,4 (0x34),,
0.233254300000000,1 (0x31),,
0.233341600000000,1 (0x31),,
0.233428800000000,0 (0x30),,
0.233516100000000,0 (0x30),,
0.233603300000000,0 (0x30),,
0.233690500000000,0 (0x30),,
0.233777800000000,0 (0x30),,
0.233865000000000,0 (0x30),,
0.233952300000000,0 (0x30),,
0.234039500000000,0 (0x30),,
0.234126800000000,0 (0x30),,
0.234214000000000,0 (0x30),,
0.234301300000000,0 (0x30),,
0.234388500000000,0 (0x30),,
0.234475700000000,0 (0x30),,
0.234563000000000,0 (0x30),,
0.234650200000000,0 (0x30),,
0.234737500000000,0 (0x30),,
0.234824700000000,0 (0x30),,
0.234911900000000,0 (0x30),,
0.234999200000000,'6' (0x06),,
0.235086400000000,'220' (0xDC),,
0.235173700000000,\n (0x0A),,
0.334180600000000,\r (0x0D),,
0.334267900000000,1 (0x31),,
0.334355100000000,0 (0x30),,
0.334442400000000,0 (0x30),,
0.334529600000000,0 (0x30),,
0.334616900000000,0 (0x30),,
0.334704100000000,0 (0x30),,
0.334791400000000,0 (0x30),,
0.334878600000000,0 (0x30),,
0.334965800000000,0 (0x30),,
0.335053100000000,0 (0x30),,
0.335140300000000,6 (0x36),,
0.335227600000000,0 (0x30),,
0.335314800000000,6 (0x36),,
0.335402100000000,8 (0x38),,
0.335489300000000,1 (0x31),,
0.335576600000000,4 (0x34),,
0.335663800000000,1 (0x31),,
0.335751100000000,1 (0x31),,
0.335838300000000,0 (0x30),,
0.335925600000000,0 (0x30),,
0.336012800000000,0 (0x30),,
0.336100100000000,0 (0x30),,
0.336187300000000,0 (0x30),,
0.336274600000000,0 (0x30),,
0.336361800000000,0 (0x30),,
0.336449100000000,0 (0x30),,
0.336536300000000,0 (0x30),,
0.336623500000000,0 (0x30),,
0.336710800000000,0 (0x30),,
0.336798000000000,0 (0x30),,
0.336885300000000,0 (0x30),,
0.336972500000000,0 (0x30),,
0.337059800000000,0 (0x30),,
0.337147000000000,0 (0x30),,
0.337234300000000,0 (0x30),,
0.337321500000000,0 (0x30),,
0.337408800000000,'6' (0x06),,
0.337496000000000,'220' (0xDC),,
0.337583300000000,\n (0x0A),,
0.433610900000000,\r (0x0D),,
0.433698100000000,1 (0x31),,
0.433785300000000,0 (0x30),,
0.433872600000000,0 (0x30),,
0.433959800000000,0 (0x30),,
0.434047100000000,0 (0x30),,
0.434134300000000,0 (0x30),,
0.434221600000000,0 (0x30),,
0.434308800000000,0 (0x30),,
0.434396100000000,0 (0x30),,
0.434483300000000,0 (0x30),,
0.434570600000000,6 (0x36),,
0.434657800000000,0 (0x30),,
0.434745100000000,6 (0x36),,
0.434832300000000,8 (0x38),,
0.434919500000000,1 (0x31),,
0.435006800000000,4 (0x34),,
0.435094000000000,1 (0x31),,
0.435181300000000,1 (0x31),,
0.435268500000000,0 (0x30),,
0.435355800000000,0 (0x30),,
0.435443000000000,0 (0x30),,
0.435530300000000,0 (0x30),,
0.435617500000000,0 (0x30),,
0.435704800000000,0 (0x30),,
0.435792000000000,0 (0x30),,
